coupling,cf_analytical,cf_empirical,mf_mse,oracle_mse,mse_ratio
0.0,0.26260544390472723,0.0008339953972329076,0.10049030477296599,0.10049030477296599,1.0
0.0,0.26260544390472723,0.00013403676217678848,0.10617657988776452,0.10617657988776452,1.0
0.0,0.26260544390472723,0.0009464768448838443,0.09638220600585687,0.09638220600585687,1.0
0.0,0.26260544390472723,0.002373321371511827,0.13567136236000876,0.13567136236000876,1.0
0.0,0.26260544390472723,0.0005397513903684425,0.10614926069680809,0.10614926069680809,1.0
0.0,0.26260544390472723,0.0020809970850332424,0.09901457524652495,0.09901457524652495,1.0
0.0,0.26260544390472723,0.002678859489084808,0.10622036362293591,0.10622036362293591,1.0
0.0,0.26260544390472723,0.00025219665798077137,0.12431904544159139,0.12431904544159139,1.0
0.0,0.26260544390472723,0.00035731231981377543,0.1219423395007,0.1219423395007,1.0
0.0,0.26260544390472723,0.00010981942344706757,0.11495829894025827,0.11495829894025827,1.0
0.0,0.26260544390472723,0.0004172605064231474,0.09524002487453986,0.09524002487453986,1.0
0.0,0.26260544390472723,2.3107611408384763e-06,0.09957344223289107,0.09957344223289107,1.0
0.0,0.26260544390472723,0.0035247961060965007,0.09167205101210127,0.09167205101210127,1.0
0.0,0.26260544390472723,5.898595564151988e-05,0.1187218441612217,0.1187218441612217,1.0
0.0,0.26260544390472723,4.0209779550499565e-05,0.13978272658529817,0.13978272658529817,1.0
0.0,0.26260544390472723,0.001786981691467823,0.10346294367127085,0.10346294367127085,1.0
0.0,0.26260544390472723,6.60928106745994e-05,0.10013277269750166,0.10013277269750166,1.0
0.0,0.26260544390472723,0.002217910922373958,0.11370611300566172,0.11370611300566172,1.0
0.0,0.26260544390472723,0.000297003228940984,0.09467624527161633,0.09467624527161633,1.0
0.0,0.26260544390472723,0.0003978614523622919,0.12269342017727197,0.12269342017727197,1.0
0.0,0.26260544390472723,0.00016673803345974972,0.10775023562724842,0.10775023562724842,1.0
0.0,0.26260544390472723,0.0007788015528284177,0.11443775575644842,0.11443775575644842,1.0
0.0,0.26260544390472723,0.0012088916523528967,0.11785894907006238,0.11785894907006238,1.0
0.0,0.26260544390472723,0.0013520200664843367,0.10855069443816764,0.10855069443816764,1.0
0.0,0.26260544390472723,0.000625295415124178,0.12227241047686337,0.12227241047686337,1.0
0.0,0.26260544390472723,8.516793704380937e-05,0.11422248094915609,0.11422248094915609,1.0
0.0,0.26260544390472723,1.379388701868422e-05,0.11787263136731971,0.11787263136731971,1.0
0.0,0.26260544390472723,1.1966530158878061e-05,0.09746053562390875,0.09746053562390875,1.0
0.0,0.26260544390472723,0.0007736047017628342,0.10229372439450002,0.10229372439450002,1.0
0.0,0.26260544390472723,0.002806503799043305,0.10470528719835613,0.10470528719835613,1.0
0.0,0.26260544390472723,0.005029252175031342,0.09209858875695925,0.09209858875695925,1.0
0.0,0.26260544390472723,0.00925599894968094,0.10756174708066846,0.10756174708066846,1.0
0.0,0.26260544390472723,0.0007081779837114136,0.10385309744893857,0.10385309744893857,1.0
0.0,0.26260544390472723,0.0004634947330591101,0.10138431986232496,0.10138431986232496,1.0
0.0,0.26260544390472723,0.0009500340801318584,0.10577913725246414,0.10577913725246414,1.0
0.0,0.26260544390472723,0.00010151153411921405,0.11323264825989715,0.11323264825989715,1.0
0.0,0.26260544390472723,0.000425879515736494,0.1314998792002324,0.1314998792002324,1.0
0.0,0.26260544390472723,6.08308220279725e-06,0.121255952647042,0.121255952647042,1.0
0.0,0.26260544390472723,0.0003878655281243107,0.1000470970049417,0.1000470970049417,1.0
0.0,0.26260544390472723,0.00017367923893612882,0.10742434212929951,0.10742434212929951,1.0
0.0,0.26260544390472723,0.003758129024320244,0.10431861338235668,0.10431861338235668,1.0
0.0,0.26260544390472723,0.005179036322475644,0.10538173474221878,0.10538173474221878,1.0
0.0,0.26260544390472723,0.0023113278720902665,0.09832560801052874,0.09832560801052874,1.0
0.0,0.26260544390472723,9.456714305029201e-05,0.11082286456986061,0.11082286456986061,1.0
0.0,0.26260544390472723,0.0003161069257721167,0.10114809544635375,0.10114809544635375,1.0
0.0,0.26260544390472723,0.00033852931883989395,0.10822834860319856,0.10822834860319856,1.0
0.0,0.26260544390472723,1.1523444978444608e-06,0.09506049796121704,0.09506049796121704,1.0
0.0,0.26260544390472723,0.004273227496302608,0.13862401355031034,0.13862401355031034,1.0
0.0,0.26260544390472723,0.000745677181740389,0.10693711368447856,0.10693711368447856,1.0
0.0,0.26260544390472723,0.00025055880857947156,0.11183801418444195,0.11183801418444195,1.0
0.0,0.26260544390472723,0.0002610931898617889,0.11705198328669042,0.11705198328669042,1.0
0.0,0.26260544390472723,0.00013819774415578474,0.1193209166392809,0.1193209166392809,1.0
0.0,0.26260544390472723,0.001966628399516585,0.12125721240590072,0.12125721240590072,1.0
0.0,0.26260544390472723,3.8670059159314855e-06,0.12713209892320093,0.12713209892320093,1.0
0.0,0.26260544390472723,1.2166746964460902e-05,0.12454115924730308,0.12454115924730308,1.0
0.0,0.26260544390472723,3.663700834537048e-05,0.12401347145993263,0.12401347145993263,1.0
0.0,0.26260544390472723,0.0014316873590378702,0.10066867507396693,0.10066867507396693,1.0
0.0,0.26260544390472723,0.0008095100940195113,0.10979623267532539,0.10979623267532539,1.0
0.0,0.26260544390472723,0.0005953948894157239,0.12206127700759813,0.12206127700759813,1.0
0.0,0.26260544390472723,0.0011120718557389782,0.12452620541522463,0.12452620541522463,1.0
0.0,0.26260544390472723,0.0012947859296821374,0.08150804791612157,0.08150804791612157,1.0
