kappa,max_cf,mean_cf,theoretical_cf,utilization,kl_z2,posterior_var_z2
0.0,0.02802706094938927,0.008957229292839042,0.0,0.0,-2.5000002067259276e-10,1.0
0.25,0.2720745611626145,0.032568178479368236,0.2495417044725436,0.03207036636695597,0.004502730746050315,0.9411764705882353
0.5,0.5020839751930434,0.05611784470893207,0.48795003647426666,0.13491395138982187,0.05785887797302436,0.8
1.0,0.818714696016862,0.08846755406601162,0.8164965809277261,0.499684032913551,0.4828679508998632,0.5
2.0,0.9761971300319849,0.10403319491712126,0.9759000729485331,0.9091728484155552,2.0235947798352507,0.2
4.0,0.9981943472701629,0.1063772502359623,0.9981668178901744,0.9927721775350831,4.730092179419952,0.058823529411764705
