kappa,ic,mse_ratio,ic_bin
0.0,7.543956192285305e-05,1.0,"(-0.000437, 0.0437]"
0.0,0.0006244879849378,1.0,"(-0.000437, 0.0437]"
0.0,0.0003451155489815,1.0,"(-0.000437, 0.0437]"
0.0,0.0006570436015428,1.0,"(-0.000437, 0.0437]"
0.0,0.0061637809212252,1.0,"(-0.000437, 0.0437]"
0.0,0.0001877807580449,1.0,"(-0.000437, 0.0437]"
0.0,0.0036391849287761,1.0,"(-0.000437, 0.0437]"
0.0,0.0008933496335596,1.0,"(-0.000437, 0.0437]"
0.0,0.000258556184484,1.0,"(-0.000437, 0.0437]"
0.0,0.003591872943614,1.0,"(-0.000437, 0.0437]"
0.0,0.000476335625904,1.0,"(-0.000437, 0.0437]"
0.0,0.0001703429469192,1.0,"(-0.000437, 0.0437]"
0.0,7.471530200543844e-08,1.0,"(-0.000437, 0.0437]"
0.0,0.0003968256332883,1.0,"(-0.000437, 0.0437]"
0.0,1.9380076931172293e-05,1.0,"(-0.000437, 0.0437]"
0.0,0.0001558011120204,1.0,"(-0.000437, 0.0437]"
0.0,0.0001900077820609,1.0,"(-0.000437, 0.0437]"
0.0,7.763566506082428e-06,1.0,"(-0.000437, 0.0437]"
0.0,0.0012391992352828,1.0,"(-0.000437, 0.0437]"
0.0,5.338352279950516e-05,1.0,"(-0.000437, 0.0437]"
0.0,0.0003745787446296,1.0,"(-0.000437, 0.0437]"
0.0,3.1748365525053816e-05,1.0,"(-0.000437, 0.0437]"
0.0,0.0013843249674573,1.0,"(-0.000437, 0.0437]"
0.0,0.0001252042665758,1.0,"(-0.000437, 0.0437]"
0.0,0.0005353453988631,1.0,"(-0.000437, 0.0437]"
0.0,0.0004694208247282,1.0,"(-0.000437, 0.0437]"
0.0,0.0013187801384619,1.0,"(-0.000437, 0.0437]"
0.0,0.0001506142638137,1.0,"(-0.000437, 0.0437]"
0.0,0.0011763842232839,1.0,"(-0.000437, 0.0437]"
0.0,0.0005149193067533,1.0,"(-0.000437, 0.0437]"
0.0,0.0001541972355911,1.0,"(-0.000437, 0.0437]"
0.0,0.0013234253443278,1.0,"(-0.000437, 0.0437]"
0.0,0.0005855110992918,1.0,"(-0.000437, 0.0437]"
0.0,5.030490360829915e-05,1.0,"(-0.000437, 0.0437]"
0.0,0.0003808798558259,1.0,"(-0.000437, 0.0437]"
0.0,0.0063896021365656,1.0,"(-0.000437, 0.0437]"
0.0,0.0013799327181859,1.0,"(-0.000437, 0.0437]"
0.0,0.0006287855825661,1.0,"(-0.000437, 0.0437]"
0.0,0.0001424385051322,1.0,"(-0.000437, 0.0437]"
0.0,0.000541857207687,1.0,"(-0.000437, 0.0437]"
0.0,0.0006432184669175,1.0,"(-0.000437, 0.0437]"
0.0,0.0038266070720213,1.0,"(-0.000437, 0.0437]"
0.0,0.0014545279329717,1.0,"(-0.000437, 0.0437]"
0.0,3.2306627375748485e-05,1.0,"(-0.000437, 0.0437]"
0.0,0.0033828855544191,1.0,"(-0.000437, 0.0437]"
0.0,0.0021608142418486,1.0,"(-0.000437, 0.0437]"
0.0,0.0003993936880425,1.0,"(-0.000437, 0.0437]"
0.0,0.0003213960787486,1.0,"(-0.000437, 0.0437]"
0.0,0.000497115984349,1.0,"(-0.000437, 0.0437]"
0.0,0.0003683598857447,1.0,"(-0.000437, 0.0437]"
0.1,0.0035818370462937,1.018697650750513,"(-0.000437, 0.0437]"
0.1,0.0007610575290704,1.0374253294250029,"(-0.000437, 0.0437]"
0.1,0.0381117983593815,1.163359271166105,"(-0.000437, 0.0437]"
0.1,0.010421881786537,1.006567328766318,"(-0.000437, 0.0437]"
0.1,0.0162610629810864,1.0624215633772405,"(-0.000437, 0.0437]"
0.1,0.0090923430665796,1.030473198878202,"(-0.000437, 0.0437]"
0.1,0.012496595514737,0.9953413263884308,"(-0.000437, 0.0437]"
0.1,0.0100284543864324,1.0943658808084498,"(-0.000437, 0.0437]"
0.1,0.036270358982746,1.8846416385942688,"(-0.000437, 0.0437]"
0.1,0.000605274049728,1.0008974619562323,"(-0.000437, 0.0437]"
0.1,0.0095989995376416,1.079889077070806,"(-0.000437, 0.0437]"
0.1,0.052848719375796,1.107533765378765,"(0.0437, 0.0873]"
0.1,0.0249873639795539,1.0653131058730403,"(-0.000437, 0.0437]"
0.1,0.0154343974937331,1.0037015192923928,"(-0.000437, 0.0437]"
0.1,0.0101558248967573,1.0674876501169226,"(-0.000437, 0.0437]"
0.1,1.251556684176946e-05,1.0175010781303766,"(-0.000437, 0.0437]"
0.1,0.0154299937814678,1.0603931733804528,"(-0.000437, 0.0437]"
0.1,0.0025716994745701,1.0428918167768233,"(-0.000437, 0.0437]"
0.1,0.0318708818424809,1.5965518071923306,"(-0.000437, 0.0437]"
0.1,0.008013781448755,1.0638630790829926,"(-0.000437, 0.0437]"
0.1,0.0056164800920244,1.0500855923049306,"(-0.000437, 0.0437]"
0.1,0.0112759470705294,1.0283554637738404,"(-0.000437, 0.0437]"
0.1,0.0003037368921224,1.0213487262300274,"(-0.000437, 0.0437]"
0.1,0.0031281934827731,0.9871214994373116,"(-0.000437, 0.0437]"
0.1,0.0060322550316589,1.021833936101511,"(-0.000437, 0.0437]"
0.1,0.0024920816643581,1.0566017172146622,"(-0.000437, 0.0437]"
0.1,0.0268845649503473,1.0908462118472748,"(-0.000437, 0.0437]"
0.1,1.0604640016835831e-05,1.0437547010488075,"(-0.000437, 0.0437]"
0.1,0.0222489772548836,1.0239194601441524,"(-0.000437, 0.0437]"
0.1,0.0051673742067051,1.029897681598845,"(-0.000437, 0.0437]"
0.1,0.0020502311243694,1.0172431226307166,"(-0.000437, 0.0437]"
0.1,0.0142868399834683,1.4077399167678024,"(-0.000437, 0.0437]"
0.1,0.0014439841695162,1.0437899559859638,"(-0.000437, 0.0437]"
0.1,0.0205129266569881,1.1194069996361726,"(-0.000437, 0.0437]"
0.1,0.0106441541121818,1.004754220196756,"(-0.000437, 0.0437]"
0.1,0.0048391802530666,1.0264755416097855,"(-0.000437, 0.0437]"
0.1,0.0189707006181077,0.970159748665077,"(-0.000437, 0.0437]"
0.1,0.0231950049965345,1.181656306029867,"(-0.000437, 0.0437]"
0.1,0.0293041546664631,1.0546814025182882,"(-0.000437, 0.0437]"
0.1,0.0340991632848449,1.1193692547977314,"(-0.000437, 0.0437]"
0.1,0.0325113086402385,1.0527060277863758,"(-0.000437, 0.0437]"
0.1,0.0162904710068416,1.2822863712548278,"(-0.000437, 0.0437]"
0.1,0.0479375534710376,1.1846445259769312,"(0.0437, 0.0873]"
0.1,0.0153891353387212,1.040055456862669,"(-0.000437, 0.0437]"
0.1,0.0020079439463335,1.112370909308135,"(-0.000437, 0.0437]"
0.1,0.0092295090578553,1.0162752233694867,"(-0.000437, 0.0437]"
0.1,0.0183641953841576,1.0517717908686617,"(-0.000437, 0.0437]"
0.1,0.0074213844911854,1.132871453507418,"(-0.000437, 0.0437]"
0.1,0.0335094117756764,1.028543412458973,"(-0.000437, 0.0437]"
0.1,0.0013939270629032,1.01386356656849,"(-0.000437, 0.0437]"
0.2,0.0454977145916489,1.109642987236472,"(0.0437, 0.0873]"
0.2,0.0645156852512146,1.8189647917237424,"(0.0437, 0.0873]"
0.2,0.0238845411054935,1.292078484130528,"(-0.000437, 0.0437]"
0.2,0.0178919874023622,1.5529642823572285,"(-0.000437, 0.0437]"
0.2,0.0201472761921015,1.0919142322153923,"(-0.000437, 0.0437]"
0.2,0.1088857866604734,1.30170992814342,"(0.0873, 0.131]"
0.2,0.0179301567307544,1.0034051788175549,"(-0.000437, 0.0437]"
0.2,0.0303753757680674,1.1524478444155215,"(-0.000437, 0.0437]"
0.2,0.0649399446506434,1.3976448187436434,"(0.0437, 0.0873]"
0.2,0.0631914024805623,1.5052592970535634,"(0.0437, 0.0873]"
0.2,0.0090518550358614,1.0067725088611026,"(-0.000437, 0.0437]"
0.2,0.026379908094607,1.2037982372053002,"(-0.000437, 0.0437]"
0.2,0.0472625312452989,1.5313567160199943,"(0.0437, 0.0873]"
0.2,0.0021531411551992,1.0369126893170375,"(-0.000437, 0.0437]"
0.2,0.0474223539387093,1.108906836118681,"(0.0437, 0.0873]"
0.2,0.0482722393488227,1.071963777901056,"(0.0437, 0.0873]"
0.2,0.0112469294547345,1.0569756351777786,"(-0.000437, 0.0437]"
0.2,0.0184804174204702,1.0044698460071928,"(-0.000437, 0.0437]"
0.2,0.0939328845604708,1.4838413065079017,"(0.0873, 0.131]"
0.2,0.0541216458539836,2.847617445273068,"(0.0437, 0.0873]"
0.2,0.0239637435786531,1.329714500794402,"(-0.000437, 0.0437]"
0.2,0.0253030007439897,1.585045575635809,"(-0.000437, 0.0437]"
0.2,0.0263386198461487,1.0932204611337388,"(-0.000437, 0.0437]"
0.2,0.0032973287947333,1.066046820938708,"(-0.000437, 0.0437]"
0.2,0.0339752325744593,1.6129455601277671,"(-0.000437, 0.0437]"
0.2,0.0100162759799202,1.083456748216102,"(-0.000437, 0.0437]"
0.2,0.0376727344492831,1.1385764589336982,"(-0.000437, 0.0437]"
0.2,0.0300048128484349,1.0718402013251234,"(-0.000437, 0.0437]"
0.2,0.0330779620837959,1.6085609956906737,"(-0.000437, 0.0437]"
0.2,0.0018103112812842,0.9778907313082376,"(-0.000437, 0.0437]"
0.2,0.0305029511200921,1.0598678563463522,"(-0.000437, 0.0437]"
0.2,0.0686736428308934,1.2727985236771109,"(0.0437, 0.0873]"
0.2,0.0533631526392376,1.1282485670953923,"(0.0437, 0.0873]"
0.2,0.0241286906772393,1.1256830998954253,"(-0.000437, 0.0437]"
0.2,0.0071951119073325,1.0476464264914027,"(-0.000437, 0.0437]"
0.2,0.0280584030255119,1.212289879938242,"(-0.000437, 0.0437]"
0.2,0.0368705336788688,1.0415929585381931,"(-0.000437, 0.0437]"
0.2,0.0041158799989558,1.282652713668549,"(-0.000437, 0.0437]"
0.2,0.0126056745241229,1.1245803076874823,"(-0.000437, 0.0437]"
0.2,0.0046133479919469,1.025537520983404,"(-0.000437, 0.0437]"
0.2,0.0959918045150468,9.25903273782577,"(0.0873, 0.131]"
0.2,0.0525880600602563,3.3151789797145628,"(0.0437, 0.0873]"
0.2,0.0542416333516747,1.2751901446513274,"(0.0437, 0.0873]"
0.2,0.0210244666623015,1.5061240293742504,"(-0.000437, 0.0437]"
0.2,0.0388650244202122,1.4534853912141124,"(-0.000437, 0.0437]"
0.2,0.0653348278406386,1.2241234148976126,"(0.0437, 0.0873]"
0.2,0.0762982158967989,1.2560466929302314,"(0.0437, 0.0873]"
0.2,0.0408161111684625,1.1593936062369952,"(-0.000437, 0.0437]"
0.2,0.0143171270413117,1.0138551486881069,"(-0.000437, 0.0437]"
0.2,0.0041421592854464,1.01450184205151,"(-0.000437, 0.0437]"
0.3,0.0449564505526638,2.874375099388561,"(0.0437, 0.0873]"
0.3,0.0916338089663457,1.7645083408011382,"(0.0873, 0.131]"
0.3,0.0066079328496339,0.994120822769214,"(-0.000437, 0.0437]"
0.3,0.1012933150887319,1.8382955333754007,"(0.0873, 0.131]"
0.3,0.0378844246170812,1.189522723039908,"(-0.000437, 0.0437]"
0.3,0.133795084480935,3.130510268051208,"(0.131, 0.175]"
0.3,0.0440430745802515,1.085482545459859,"(0.0437, 0.0873]"
0.3,0.030154049547716,1.0373265879340108,"(-0.000437, 0.0437]"
0.3,0.0431371971264186,1.6040075086568204,"(-0.000437, 0.0437]"
0.3,0.0543188664765277,1.094443852329407,"(0.0437, 0.0873]"
0.3,0.0272473472465459,1.0743098990211837,"(-0.000437, 0.0437]"
0.3,0.0774796847413236,1.5118552806317662,"(0.0437, 0.0873]"
0.3,0.0416950358105191,2.1409359119267384,"(-0.000437, 0.0437]"
0.3,0.0467026745733997,1.1504295853618158,"(0.0437, 0.0873]"
0.3,0.0187816093992326,2.6711667695424257,"(-0.000437, 0.0437]"
0.3,0.1461715688545462,8.107291780387024,"(0.131, 0.175]"
0.3,0.0240010424683067,1.788371569198555,"(-0.000437, 0.0437]"
0.3,0.0410331294056203,1.0998624073966996,"(-0.000437, 0.0437]"
0.3,0.0573926076912538,4.147375372800717,"(0.0437, 0.0873]"
0.3,0.1276115101547034,7.376121086348681,"(0.0873, 0.131]"
0.3,0.1110192838665771,1.4529744469858423,"(0.0873, 0.131]"
0.3,0.0722054869518785,1.209890513361489,"(0.0437, 0.0873]"
0.3,0.0334744171249875,1.2696642135868197,"(-0.000437, 0.0437]"
0.3,0.0393759805562137,1.2802955439115646,"(-0.000437, 0.0437]"
0.3,0.0862411402284656,3.035671741255875,"(0.0437, 0.0873]"
0.3,0.0577519787995194,1.3619717400749591,"(0.0437, 0.0873]"
0.3,0.0574209303364886,1.3283953308845766,"(0.0437, 0.0873]"
0.3,0.027537614550039,1.0737915368907656,"(-0.000437, 0.0437]"
0.3,0.0239449170099654,1.650924141740998,"(-0.000437, 0.0437]"
0.3,0.0650516756772706,1.87471277371312,"(0.0437, 0.0873]"
0.3,0.0596546506917344,1.391081504313503,"(0.0437, 0.0873]"
0.3,0.0290022764002755,1.140096815289446,"(-0.000437, 0.0437]"
0.3,0.0923102263115614,1.271419491358127,"(0.0873, 0.131]"
0.3,0.0288049275118509,1.0649118684934678,"(-0.000437, 0.0437]"
0.3,0.078902547319286,1.3350783641658397,"(0.0437, 0.0873]"
0.3,0.0489535067664702,1.0303465405724974,"(0.0437, 0.0873]"
0.3,0.1453135560182481,12.766975672029291,"(0.131, 0.175]"
0.3,0.0694826339846103,1.6411081374541456,"(0.0437, 0.0873]"
0.3,0.050510713341703,4.040622704579033,"(0.0437, 0.0873]"
0.3,0.1161264057000787,1.2040096209142963,"(0.0873, 0.131]"
0.3,0.0418470696892659,1.141091953555665,"(-0.000437, 0.0437]"
0.3,0.0758932420069678,2.3831439541792734,"(0.0437, 0.0873]"
0.3,0.1623457433258231,8.530632849393701,"(0.131, 0.175]"
0.3,0.1091392504466383,1.1419039114098954,"(0.0873, 0.131]"
0.3,0.0530757992457464,1.0903627121027717,"(0.0437, 0.0873]"
0.3,0.0165843753197821,1.1110475214380546,"(-0.000437, 0.0437]"
0.3,0.0466471628664463,1.180029282775248,"(0.0437, 0.0873]"
0.3,0.0528629977086841,1.3211950394368317,"(0.0437, 0.0873]"
0.3,0.081447436818747,10.963847221337335,"(0.0437, 0.0873]"
0.3,0.1043725874480744,1.7589825480489467,"(0.0873, 0.131]"
0.4,0.0527724241481484,5.827375056429619,"(0.0437, 0.0873]"
0.4,0.0540239035639205,1.2407443864779406,"(0.0437, 0.0873]"
0.4,0.0552631353836856,1.2046111971340203,"(0.0437, 0.0873]"
0.4,0.1709656103399751,2.2842948157075877,"(0.131, 0.175]"
0.4,0.0161442651447992,1.3729062676133377,"(-0.000437, 0.0437]"
0.4,0.0836277900884383,1.603636861072107,"(0.0437, 0.0873]"
0.4,0.0706231496058011,1.5812260756885186,"(0.0437, 0.0873]"
0.4,0.1670235483231676,1.4336465009823915,"(0.131, 0.175]"
0.4,0.1053985160721129,5.61754298132502,"(0.0873, 0.131]"
0.4,0.1330048537729228,1.5680790180467254,"(0.131, 0.175]"
0.4,0.124435064586445,2.6253649620770045,"(0.0873, 0.131]"
0.4,0.005455677931948,2.113948120587725,"(-0.000437, 0.0437]"
0.4,0.1425650638147532,6.421239120108719,"(0.131, 0.175]"
0.4,0.0691740651432701,1.2941337328666884,"(0.0437, 0.0873]"
0.4,0.0425169842855666,1.630939450141193,"(-0.000437, 0.0437]"
0.4,0.1577200497334868,4.121359666635409,"(0.131, 0.175]"
0.4,0.0736599141064356,11.455982503107675,"(0.0437, 0.0873]"
0.4,0.0788780712956907,1.3470176380750936,"(0.0437, 0.0873]"
0.4,0.1728561097961808,7.283395919582982,"(0.131, 0.175]"
0.4,0.0646757162139473,1.075040153539843,"(0.0437, 0.0873]"
0.4,0.1457569295848533,2.7315737477894326,"(0.131, 0.175]"
0.4,0.1019369595302844,11.853501308149156,"(0.0873, 0.131]"
0.4,0.0239517052258402,2.73399096736208,"(-0.000437, 0.0437]"
0.4,0.0634598180146122,1.7479663705673638,"(0.0437, 0.0873]"
0.4,0.0574352832604372,1.228911752731667,"(0.0437, 0.0873]"
0.4,0.0806635935586407,1.1089818729857113,"(0.0437, 0.0873]"
0.4,0.0548597344837729,2.0449866207763683,"(0.0437, 0.0873]"
0.4,0.0448815876503207,1.5178020292428749,"(0.0437, 0.0873]"
0.4,0.061971748509693,2.1550918199021507,"(0.0437, 0.0873]"
0.4,0.0643746842051504,1.5733009129520277,"(0.0437, 0.0873]"
0.4,0.1071899263733456,1.2957685799321337,"(0.0873, 0.131]"
0.4,0.0542734260522495,1.276699184000606,"(0.0437, 0.0873]"
0.4,0.0249035016015825,1.715511028880465,"(-0.000437, 0.0437]"
0.4,0.0548741527195794,1.251384747606752,"(0.0437, 0.0873]"
0.4,0.0766479899806917,1.444816372879654,"(0.0437, 0.0873]"
0.4,0.0550465127337555,1.8692785095259383,"(0.0437, 0.0873]"
0.4,0.1871684805623174,3.6393571079453833,"(0.175, 0.218]"
0.4,0.1022320705029528,1.2911940138039448,"(0.0873, 0.131]"
0.4,0.0308847809372707,3.93008594946003,"(-0.000437, 0.0437]"
0.4,0.0971219825120632,1.6449686698402022,"(0.0873, 0.131]"
0.4,0.0321135249487409,2.1422846117591083,"(-0.000437, 0.0437]"
0.4,0.0349883518632111,1.5700217320711158,"(-0.000437, 0.0437]"
0.4,0.0599864818979615,1.092597266099698,"(0.0437, 0.0873]"
0.4,0.1750298952444227,1.5685101179435577,"(0.175, 0.218]"
0.4,0.1713909158834548,2.867548964776069,"(0.131, 0.175]"
0.4,0.1536578543276876,4.576998042551632,"(0.131, 0.175]"
0.4,0.0624307625711842,2.7237065996916026,"(0.0437, 0.0873]"
0.4,0.1096627109492149,10.020362986076211,"(0.0873, 0.131]"
0.4,0.1173380914226157,10.05007475077666,"(0.0873, 0.131]"
0.4,0.0806054480753183,2.0802432755555773,"(0.0437, 0.0873]"
0.5,0.088371163327523,1.2402706743617462,"(0.0873, 0.131]"
0.5,0.0567961287470086,1.7653850763149932,"(0.0437, 0.0873]"
0.5,0.1967259159026066,2.4790051496412184,"(0.175, 0.218]"
0.5,0.0414333063360431,1.9024148863775472,"(-0.000437, 0.0437]"
0.5,0.0339236574766651,1.7909525331094878,"(-0.000437, 0.0437]"
0.5,0.0411215448322499,16.471177956191116,"(-0.000437, 0.0437]"
0.5,0.0207820057170932,1.758828427284585,"(-0.000437, 0.0437]"
0.5,0.0705230136711639,1.2457739118547495,"(0.0437, 0.0873]"
0.5,0.2164753537458192,2.2025919776328093,"(0.175, 0.218]"
0.5,0.0948416239975828,6.467157805272279,"(0.0873, 0.131]"
0.5,0.0805004598357205,9.800208260489793,"(0.0437, 0.0873]"
0.5,0.1103970722483279,10.46791783137094,"(0.0873, 0.131]"
0.5,0.1389390872641133,1.1948728058146785,"(0.131, 0.175]"
0.5,0.1129876373425852,1.228812343999212,"(0.0873, 0.131]"
0.5,0.0526687269861831,1.5082179689437267,"(0.0437, 0.0873]"
0.5,0.0306547178009934,1.591036596361864,"(-0.000437, 0.0437]"
0.5,0.118674152918592,5.597278225934553,"(0.0873, 0.131]"
0.5,0.2116070738042968,7.078720609906426,"(0.175, 0.218]"
0.5,0.1342704021577996,1.6611411523079478,"(0.131, 0.175]"
0.5,0.0785269756398117,13.4969305428212,"(0.0437, 0.0873]"
0.5,0.1208769369171806,1.849753373573776,"(0.0873, 0.131]"
0.5,0.1522404536575001,5.704864535940298,"(0.131, 0.175]"
0.5,0.1077781228329609,3.066029506189205,"(0.0873, 0.131]"
0.5,0.1656970495672417,1.9968121411473696,"(0.131, 0.175]"
0.5,0.1368648519243787,2.755271600265613,"(0.131, 0.175]"
0.5,0.0952472266731837,1.2332973606327111,"(0.0873, 0.131]"
0.5,0.050744002017737,1.590888117357208,"(0.0437, 0.0873]"
0.5,0.2047755843924924,2.6228690839534905,"(0.175, 0.218]"
0.5,0.2053392318793809,7.648425828105333,"(0.175, 0.218]"
0.5,0.0816619167431333,2.431711456709284,"(0.0437, 0.0873]"
0.5,0.0235764458940359,1.939406564319245,"(-0.000437, 0.0437]"
0.5,0.030933205720863,1.2765695993636366,"(-0.000437, 0.0437]"
0.5,0.1031084085397784,1.520428927702,"(0.0873, 0.131]"
0.5,0.1836165020904507,5.6181190422054765,"(0.175, 0.218]"
0.5,0.1759043260397343,1.4427761054491617,"(0.175, 0.218]"
0.5,0.1020336118547556,1.5840872553075522,"(0.0873, 0.131]"
0.5,0.0079510241859248,2.064006257804134,"(-0.000437, 0.0437]"
0.5,0.1183560465530781,10.561520041526247,"(0.0873, 0.131]"
0.5,0.1142760351082599,2.633836341449388,"(0.0873, 0.131]"
0.5,0.1524633282435697,6.746730322544603,"(0.131, 0.175]"
0.5,0.0485325491933162,2.736046742171217,"(0.0437, 0.0873]"
0.5,0.1232919650225796,1.6407171667839904,"(0.0873, 0.131]"
0.5,0.0288191476976469,2.060496134776495,"(-0.000437, 0.0437]"
0.5,0.1300857602312272,2.156190910285894,"(0.0873, 0.131]"
0.5,0.1064972894860892,1.6932617640973968,"(0.0873, 0.131]"
0.5,0.0522964557229041,1.897740483270235,"(0.0437, 0.0873]"
0.5,0.0609500608302319,1.697659139356884,"(0.0437, 0.0873]"
0.5,0.1075817891145912,13.41831019757236,"(0.0873, 0.131]"
0.5,0.0163864542947787,2.73865052784109,"(-0.000437, 0.0437]"
0.5,0.056202238342131,1.581721921472241,"(0.0437, 0.0873]"
0.6000000000000001,0.0382832314079632,1.720975818503335,"(-0.000437, 0.0437]"
0.6000000000000001,0.0956074840770459,1.1376929473683908,"(0.0873, 0.131]"
0.6000000000000001,0.1479794181208315,1.502987930373216,"(0.131, 0.175]"
0.6000000000000001,0.1583344376311775,9.360566231902686,"(0.131, 0.175]"
0.6000000000000001,0.0927768701785472,1.303588261585198,"(0.0873, 0.131]"
0.6000000000000001,0.1395456964544836,5.101645230474565,"(0.131, 0.175]"
0.6000000000000001,0.0931275366774125,1.3133436363918545,"(0.0873, 0.131]"
0.6000000000000001,0.107296239137206,1.7733734070402347,"(0.0873, 0.131]"
0.6000000000000001,0.1118247592074599,1.3621387280592163,"(0.0873, 0.131]"
0.6000000000000001,0.0811190436254793,7.4695504123918735,"(0.0437, 0.0873]"
0.6000000000000001,0.1891895818312102,9.729862442554111,"(0.175, 0.218]"
0.6000000000000001,0.1334809601551621,4.9898472506654965,"(0.131, 0.175]"
0.6000000000000001,0.1137503826001789,7.301968829830816,"(0.0873, 0.131]"
0.6000000000000001,0.1004114381488366,1.3105809335066487,"(0.0873, 0.131]"
0.6000000000000001,0.1162810447388913,1.2666357269558015,"(0.0873, 0.131]"
0.6000000000000001,0.0265962443267847,2.2704790065064504,"(-0.000437, 0.0437]"
0.6000000000000001,0.057031884372071,10.888665399855627,"(0.0437, 0.0873]"
0.6000000000000001,0.1078972834995679,14.467255438364424,"(0.0873, 0.131]"
0.6000000000000001,0.1393517701987796,1.1940896745043446,"(0.131, 0.175]"
0.6000000000000001,0.1097915923632886,1.2964490815065586,"(0.0873, 0.131]"
0.6000000000000001,0.0850487124121982,1.1644921466896008,"(0.0437, 0.0873]"
0.6000000000000001,0.1438754573317571,2.608170110612773,"(0.131, 0.175]"
0.6000000000000001,0.0059183366591406,2.1569147251885914,"(-0.000437, 0.0437]"
0.6000000000000001,0.1213796478318724,1.6456212698885069,"(0.0873, 0.131]"
0.6000000000000001,0.2647511142215121,6.302056010807459,"(0.262, 0.306]"
0.6000000000000001,0.0992767467693322,3.319042598785587,"(0.0873, 0.131]"
0.6000000000000001,0.1032045422892867,4.072359012718478,"(0.0873, 0.131]"
0.6000000000000001,0.275025888367591,8.142573049826717,"(0.262, 0.306]"
0.6000000000000001,0.1124745073120029,2.11410973623988,"(0.0873, 0.131]"
0.6000000000000001,0.0464865798479992,1.5214403325973094,"(0.0437, 0.0873]"
0.6000000000000001,0.194463005467832,2.4512525576164803,"(0.175, 0.218]"
0.6000000000000001,0.1404396893089385,1.7279838247998305,"(0.131, 0.175]"
0.6000000000000001,0.1530039117533548,1.4581690681506705,"(0.131, 0.175]"
0.6000000000000001,0.118310560805977,6.123677851631314,"(0.0873, 0.131]"
0.6000000000000001,0.0416805719459579,1.99125329865123,"(-0.000437, 0.0437]"
0.6000000000000001,0.1020005996113438,9.232333572444034,"(0.0873, 0.131]"
0.6000000000000001,0.07742195035081,1.2066460150744092,"(0.0437, 0.0873]"
0.6000000000000001,0.0283793203188572,16.810227289129063,"(-0.000437, 0.0437]"
0.6000000000000001,0.0860129611360171,1.783924905271357,"(0.0437, 0.0873]"
0.6000000000000001,0.0096503431791108,1.8255556522508631,"(-0.000437, 0.0437]"
0.6000000000000001,0.0353212178771145,1.9458055274411767,"(-0.000437, 0.0437]"
0.6000000000000001,0.0835991794239365,9.64168771672215,"(0.0437, 0.0873]"
0.6000000000000001,0.0546177690785798,1.4930109508596618,"(0.0437, 0.0873]"
0.6000000000000001,0.1694768061735636,1.7372196977753114,"(0.131, 0.175]"
0.6000000000000001,0.1502349785366075,11.695806451815896,"(0.131, 0.175]"
0.6000000000000001,0.1678692337665719,2.1917139228310405,"(0.131, 0.175]"
0.6000000000000001,0.0061744724856269,1.7815894972955877,"(-0.000437, 0.0437]"
0.6000000000000001,0.170943797398535,2.5074101239196898,"(0.131, 0.175]"
0.6000000000000001,0.0871063410050246,4.082536721357147,"(0.0437, 0.0873]"
0.6000000000000001,0.0013034465449641,2.7125568967423286,"(-0.000437, 0.0437]"
0.7000000000000001,0.0200101225912912,1.9492697398261412,"(-0.000437, 0.0437]"
0.7000000000000001,0.0001071624741874,2.337218423444245,"(-0.000437, 0.0437]"
0.7000000000000001,0.0046217934235598,2.1796688595008384,"(-0.000437, 0.0437]"
0.7000000000000001,0.2433058967627826,6.506312153779299,"(0.218, 0.262]"
0.7000000000000001,0.0780355038035653,11.739230021318868,"(0.0437, 0.0873]"
0.7000000000000001,0.0865729978704596,9.408387428365794,"(0.0437, 0.0873]"
0.7000000000000001,0.2523593478895651,10.102507442717195,"(0.218, 0.262]"
0.7000000000000001,0.1764328698991662,2.834011251758323,"(0.175, 0.218]"
0.7000000000000001,0.0671672149665541,15.987303477901682,"(0.0437, 0.0873]"
0.7000000000000001,0.1025683597791576,13.682975556345289,"(0.0873, 0.131]"
0.7000000000000001,0.0304987869644574,17.977897593370226,"(-0.000437, 0.0437]"
0.7000000000000001,0.0515163610333745,1.375937932840581,"(0.0437, 0.0873]"
0.7000000000000001,0.1464496530754772,1.3306892733694364,"(0.131, 0.175]"
0.7000000000000001,0.136600436048973,3.1822049534743124,"(0.131, 0.175]"
0.7000000000000001,0.0498943166930518,17.183601951818048,"(0.0437, 0.0873]"
0.7000000000000001,0.0886217590165299,2.229538845978193,"(0.0873, 0.131]"
0.7000000000000001,0.1729256814606317,4.569775736193294,"(0.131, 0.175]"
0.7000000000000001,0.1423932122042702,2.5971087809457205,"(0.131, 0.175]"
