tau,icc,reliability,cf,no_pooling_mse,partial_pooling_mse,mse_ratio
0.2,0.03846153846153847,0.28571428571428575,0.11856476822195057,0.08881501212935078,0.028237203665652234,3.1453189622096134
0.2,0.03846153846153847,0.28571428571428575,0.11856476822195057,0.08198340808918243,0.024916474856042807,3.290329332814895
0.2,0.03846153846153847,0.28571428571428575,0.11856476822195057,0.09497672542960349,0.030152984819708906,3.149828317080033
0.2,0.03846153846153847,0.28571428571428575,0.11856476822195057,0.13126428275482044,0.01520748649874407,8.631556751055546
0.2,0.03846153846153847,0.28571428571428575,0.11856476822195057,0.07323205001285857,0.032076158094325374,2.28306799703092
0.2,0.03846153846153847,0.28571428571428575,0.11856476822195057,0.06509376855035266,0.03038241503097574,2.142481711344793
0.2,0.03846153846153847,0.28571428571428575,0.11856476822195057,0.11278157019233584,0.028693999910234667,3.930493153452215
0.2,0.03846153846153847,0.28571428571428575,0.11856476822195057,0.14862131609776513,0.03618797065312108,4.106925959523157
0.2,0.03846153846153847,0.28571428571428575,0.11856476822195057,0.0996745387005523,0.02657656792819275,3.750466913931965
0.2,0.03846153846153847,0.28571428571428575,0.11856476822195057,0.06145328307041885,0.018005956661097604,3.412941851803435
0.2,0.03846153846153847,0.28571428571428575,0.11856476822195057,0.09800936653852492,0.016405924735076006,5.974022685169344
0.2,0.03846153846153847,0.28571428571428575,0.11856476822195057,0.0753407096890544,0.025906524329167693,2.9081751273068166
0.2,0.03846153846153847,0.28571428571428575,0.11856476822195057,0.06846672875124586,0.02784844180816558,2.458547922461155
0.2,0.03846153846153847,0.28571428571428575,0.11856476822195057,0.1324991982461218,0.037737795830825906,3.5110476202717322
0.2,0.03846153846153847,0.28571428571428575,0.11856476822195057,0.15023983081020711,0.03441349329081481,4.3657245005785885
0.2,0.03846153846153847,0.28571428571428575,0.11856476822195057,0.08106632991301385,0.030661904498921488,2.6438778424825276
0.2,0.03846153846153847,0.28571428571428575,0.11856476822195057,0.07963072348108963,0.022131434440840356,3.5980823427397306
0.2,0.03846153846153847,0.28571428571428575,0.11856476822195057,0.10626958077988204,0.031120603220772466,3.414766096466566
0.2,0.03846153846153847,0.28571428571428575,0.11856476822195057,0.07647471357467614,0.023176627388762548,3.2996480588783066
